proposal_id,source,dataset,sample_id,language,audio_path,asr_model,correction_source,category,raw_asr_text,proposed_corrected_text,reference_text,context,retrieved_terms,overlap_flag,heavy_overlap_flag,speaker_ambiguity_flag,partial_utterance_flag,error_before,error_after,error_delta,binary_label,label_source,label_rule,needs_human_check,notes
real::ami_es2002a_01_base_constrained_correction,real_ami_asr_error,AMI Meeting Corpus,ami_es2002a_01,en,data/raw/public/english_meeting/ami_es2002a_01.wav,base,conversation_map_anchor:constrained_correction,real_overlap_asr_error,"Okay, right. Well, it's the kickoff meeting for our project, and this is just what we're","Okay, right. Well, it's the kickoff meeting for our project, and this is just what we're",Okay . Right . Um well this is the kick-off meeting for our our project . Um and um this is just what we're gonna be doing over the next twenty five minutes Mm-hmm . . Um,Real AMI Meeting Corpus sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],True,False,True,False,0.7297,0.7297,0.0,do_not_apply,real_reference_derived,no_improvement,True,Real-derived from AMI Meeting Corpus; map=outputs/conversation_maps/ablation_real/constrained_correction/ami_es2002a_01_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::ami_es2002a_02_base_constrained_correction,real_ami_asr_error,AMI Meeting Corpus,ami_es2002a_02,en,data/raw/public/english_meeting/ami_es2002a_02.wav,base,conversation_map_anchor:constrained_correction,real_overlap_asr_error,"So first of all just to kind of make sure that we all know each other, I'm Laura and I'm the project manager. Great. Do you want to introduce yourself again? I'm David and I'm supposed to be an industrial designer. Okay. I'm Andrew and I'm a marketing expert.","So first of all just to kind of make sure that we all know each other, I'm Laura and I'm the project manager. Great. Do you want to introduce yourself again? I'm David and I'm supposed to be an industrial designer. Okay. I'm Andrew and I'm a marketing expert.","minutes Mm-hmm . . Um so first of all , just to kind of make sure that we all know each other , I'm Laura and I'm the project manager . Do Great you . want to introduce yourself again ? Hi , I'm David and I'm supposed to be an industrial designer Okay . . And I'm Andrew and I'm uh our marketing Um expert .",Real AMI Meeting Corpus sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],True,False,True,False,0.3881,0.3881,0.0,do_not_apply,real_reference_derived,no_improvement,True,Real-derived from AMI Meeting Corpus; map=outputs/conversation_maps/ablation_real/constrained_correction/ami_es2002a_02_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1510_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1510,en,data/raw/public/common_voice/en/fleurs_en_1510.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,The UN also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,The UN also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,The U.N. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.05,0.05,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1510_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1548_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1548,en,data/raw/public/common_voice/en/fleurs_en_1548.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"When you call someone who is thousands of miles away, you are using a satellite.","When you call someone who is thousands of miles away, you are using a satellite.","When you call someone who is thousands of miles away, you are using a satellite.",Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.0,0.0,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1548_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1578_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1578,en,data/raw/public/common_voice/en/fleurs_en_1578.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,Then lock us in to the lead and singing the passions.,Then lock us in to the lead and singing the passions.,"Then, Lakkha Singh took the lead in singing the bhajans.",Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.7,0.7,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1578_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1620_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1620,en,data/raw/public/common_voice/en/fleurs_en_1620.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Now, widely available throughout the Archipelago, Japanese cuisine features an array of simply seasoned dishes, the predominant flavorings, the Japanese favor being peanuts, chilies, sugar, especially Japanese coconut sugar and various aromatic spices.","Now, widely available throughout the Archipelago, Japanese cuisine features an array of simply seasoned dishes, the predominant flavorings, the Japanese favor being peanuts, chilies, sugar, especially Japanese coconut sugar and various aromatic spices.","Now widely available throughout the archipelago, Javanese cuisine features an array of simply seasoned dishes, the predominant flavorings the Javanese favor being peanuts, chillies, sugar (especially Javanese coconut sugar) and various aromatic spices.",Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2727,0.2727,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1620_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_en_1652_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_en_1652,en,data/raw/public/common_voice/en/fleurs_en_1652.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,The major religion in Moldova is Orthodox Christian.,The major religion in Moldova is Orthodox Christian.,The major religion in Moldova is Orthodox Christian.,Real Google FLEURS sample; language=en; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.0,0.0,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_en_1652_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1524_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1524,fr,data/raw/public/common_voice/fr/fleurs_fr_1524.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Il y a de nombreuses répercussions sociales et politiques dès que l 'utilisation du système métrique, le passage de l 'absolutisme au républicanisme, une nationalisme et une conviction que le pays appartient au peuple et non à un seul d 'argent.","Il y a de nombreuses répercussions sociales et politiques dès que l 'utilisation du système métrique, le passage de l 'absolutisme au républicanisme, une nationalisme et une conviction que le pays appartient au peuple et non à un seul d 'argent.","Il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique, le passage de l'absolutisme au républicanisme, le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant.",Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2368,0.2368,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1524_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1533_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1533,fr,data/raw/public/common_voice/fr/fleurs_fr_1533.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"De nombreux formats courants, familles, de formes APS, par exemple sans égo, à ce rapport d 'aspect ou sans rapproche de vrai.","De nombreux formats courants, familles, de formes APS, par exemple sans égo, à ce rapport d 'aspect ou sans rapproche de vrai.","De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près.",Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.5238,0.5238,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1533_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1570_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1570,fr,data/raw/public/common_voice/fr/fleurs_fr_1570.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Il n 'avait pas non plus le pouvoir de diriger au même fiscal, il y a celles sur les droits de bois d 'entre les états.","Il n 'avait pas non plus le pouvoir de diriger au même fiscal, il y a celles sur les droits de bois d 'entre les états.",Il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les États.,Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.5217,0.5217,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1570_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1620_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1620,fr,data/raw/public/common_voice/fr/fleurs_fr_1620.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"Maintenant, largement disponible dans tout l 'archipel, la cuisine javaneuse propose un éventail de passe simplement à ses onnets, des savers prédominantes que le javane est privé léger, étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javane et diverses épices aromatiques.","Maintenant, largement disponible dans tout l 'archipel, la cuisine javaneuse propose un éventail de passe simplement à ses onnets, des savers prédominantes que le javane est privé léger, étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javane et diverses épices aromatiques.","Maintenant, largement disponible dans tout l’archipel, la cuisine javanaise propose un éventail de plats simplement assaisonnés, les saveurs prédominantes que les Javanais privilégient étant les cacahuètes, les piments, le sucre (en particulier le sucre de coco javanais) et diverses épices aromatiques.",Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.3902,0.3902,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1620_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_fr_1652_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_fr_1652,fr,data/raw/public/common_voice/fr/fleurs_fr_1652.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,La principale religion en Moldavia est le cristianisme orthodoxe.,La principale religion en Moldavia est le cristianisme orthodoxe.,La principale religion en Moldavie est le christianisme orthodoxe.,Real Google FLEURS sample; language=fr; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2222,0.2222,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_fr_1652_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_zh_cn_1579_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_zh_cn_1579,zh-CN,data/raw/public/common_voice/zh-CN/fleurs_zh_cn_1579.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,報 告 就 告 稱 沒有 人 能 保 證 目前 在 伊 拉 克 採 取 的 任 何 行 動 能 夠 阻 止 宗 派 戰 爭 不 斷 增 長 的 暴 力 或 走 向 混 亂,報 告 就 告 稱 沒有 人 能 保 證 目前 在 伊 拉 克 採 取 的 任 何 行 動 能 夠 阻 止 宗 派 戰 爭 不 斷 增 長 的 暴 力 或 走 向 混 亂,报告警告称，没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争、不断增长的暴力或走向混乱。,Real Google FLEURS sample; language=zh-CN; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.3404,0.3404,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_zh_cn_1579_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_zh_cn_1581_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_zh_cn_1581,zh-CN,data/raw/public/common_voice/zh-CN/fleurs_zh_cn_1581.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"亞 馬 遜 河 也是 地 球 上 最 寬 的 河 流, 有 些 合 作 的 寬 度 可 搭 6 英 里。","亞 馬 遜 河 也是 地 球 上 最 寬 的 河 流, 有 些 合 作 的 寬 度 可 搭 6 英 里。",亚马逊河也是地球上最宽的河流，有些河段的宽度可达6英里。,Real Google FLEURS sample; language=zh-CN; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.3214,0.3214,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_zh_cn_1581_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_zh_cn_1588_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_zh_cn_1588,zh-CN,data/raw/public/common_voice/zh-CN/fleurs_zh_cn_1588.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"據 警 方 稱, 撞 倒 攝 影 師 的 汽 車 司 機 未 必 會 面 臨 行 事 指 控","據 警 方 稱, 撞 倒 攝 影 師 的 汽 車 司 機 未 必 會 面 臨 行 事 指 控",据警方称，撞倒摄影师的汽车司机未必会面临刑事指控。,Real Google FLEURS sample; language=zh-CN; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.44,0.44,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_zh_cn_1588_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_zh_cn_1605_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_zh_cn_1605,zh-CN,data/raw/public/common_voice/zh-CN/fleurs_zh_cn_1605.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"因為 遠 離 大 陸 鋪 乳 動 物 無 法 長 度 發 射 而 來, 使 得 巨 龜 成 為 克 龍 群 島 主 要 的 施 草 動 物。","因為 遠 離 大 陸 鋪 乳 動 物 無 法 長 度 發 射 而 來, 使 得 巨 龜 成 為 克 龍 群 島 主 要 的 施 草 動 物。",因为远离大陆，哺乳动物无法长途跋涉而来，使得巨龟成为科隆群岛主要的食草动物。,Real Google FLEURS sample; language=zh-CN; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.5526,0.5526,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_zh_cn_1605_conversation_map.json; correction via conversation_map_anchor:constrained_correction
real::fleurs_zh_cn_1648_base_constrained_correction,real_fleurs_asr_error,Google FLEURS,fleurs_zh_cn_1648,zh-CN,data/raw/public/common_voice/zh-CN/fleurs_zh_cn_1648.wav,base,conversation_map_anchor:constrained_correction,real_no_improvement,"加 南 沒有 大 森 林, 所以 木 材 非常 昂 貴","加 南 沒有 大 森 林, 所以 木 材 非常 昂 貴",迦南没有大森林，所以木材非常昂贵。,Real Google FLEURS sample; language=zh-CN; ASR model=base; correction_source=conversation_map_anchor:constrained_correction,[],False,False,False,False,0.2941,0.2941,0.0,do_not_apply,real_reference_derived,no_improvement,False,Real-derived from Google FLEURS; map=outputs/conversation_maps/ablation_real/constrained_correction/fleurs_zh_cn_1648_conversation_map.json; correction via conversation_map_anchor:constrained_correction
