proposal_id,category,language,raw_asr_text,proposed_corrected_text,context,retrieved_terms,overlap_flag,heavy_overlap_flag,speaker_ambiguity_flag,partial_utterance_flag,suggested_gold_label,suggested_rationale,human_checked_label,human_checked_rationale,notes
pilot_001,technical_term_recovery,en,we use piano note for speaker segmentation,we use pyannote for speaker segmentation,The team is discussing pyannote speaker diarization.,"[""pyannote"", ""speaker diarization""]",False,False,False,False,accept,The retrieved term and diarization context directly support pyannote.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_002,technical_term_recovery,en,the piano note was too sharp,the pyannote was too sharp,A musician is discussing the pitch of a physical piano.,"[""pyannote""]",False,False,False,False,reject,The ordinary music phrase is not a pyannote reference.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_003,technical_term_recovery,en,pie anode handled the segments,pyannote handled the segments,The surrounding sentence mentions segments but not speakers.,"[""pyannote""]",False,False,False,False,needs_review,"The phonetic match is plausible, but the domain context is weak.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_004,technical_term_recovery,en,diary station assigns each word to a speaker,diarization assigns each word to a speaker,Speaker-attributed ASR and diarization are being reviewed.,"[""diarization""]",False,False,False,False,accept,Speaker assignment strongly supports the diarization term.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_005,technical_term_recovery,en,the diary station is beside the bookstore,the diarization is beside the bookstore,A traveler is describing a shop named Diary Station.,"[""diarization""]",False,False,False,False,reject,"The phrase is a place name, not a speech-processing term.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_006,technical_term_recovery,en,the diary zation stage failed,the diarization stage failed,A generic pipeline stage is mentioned without speaker evidence.,"[""diarization""]",False,False,False,False,needs_review,"The sound match is strong, but the local context is underspecified.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_007,technical_term_recovery,en,the temporal anger keeps the words aligned,the temporal anchor keeps the words aligned,The discussion is about timestamp alignment and temporal anchors.,"[""temporal anchor""]",False,False,False,False,accept,Alignment context and retrieval directly support temporal anchor.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_008,technical_term_recovery,en,his temporal anger faded after the meeting,his temporal anchor faded after the meeting,The sentence describes a temporary emotional reaction.,"[""temporal anchor""]",False,False,False,False,reject,The correction changes an ordinary emotional phrase into jargon.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_009,technical_term_recovery,en,add a temporal anger near the end,add a temporal anchor near the end,The object being added is not identified.,"[""temporal anchor""]",False,False,False,False,needs_review,The correction is plausible but lacks timestamp or alignment evidence.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_010,ordinary_word_negative_control,en,the rack glossary improves term recovery,the RAG glossary improves term recovery,The ASR correction module retrieves terms from a knowledge base.,"[""RAG""]",False,False,False,False,accept,Retrieval and glossary context support RAG.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_011,ordinary_word_negative_control,en,put the microphones on the rack,put the microphones on the RAG,The team is arranging physical equipment in a room.,"[""RAG""]",False,False,False,False,reject,Rack is a physical object and must not be replaced.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_012,ordinary_word_negative_control,en,the rack step returns more evidence,the RAG step returns more evidence,"Evidence is returned, but retrieval is not explicitly stated.","[""RAG""]",False,False,False,False,needs_review,The context hints at retrieval but remains ambiguous.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_013,ordinary_word_negative_control,en,where is our main transcription metric,WER is our main transcription metric,The benchmark compares ASR word error rate.,"[""WER""]",False,False,False,False,accept,ASR metric context unambiguously supports WER.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_014,ordinary_word_negative_control,en,where did speaker two go,WER did speaker two go,A participant asks about another person's location.,"[""WER""]",False,False,False,False,reject,Where is a normal question word.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_015,ordinary_word_negative_control,en,where improved after preprocessing,WER improved after preprocessing,"A metric may be intended, but ASR is not named nearby.","[""WER""]",False,False,False,False,needs_review,"Preprocessing suggests a metric, but the evidence is incomplete.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_016,ordinary_word_negative_control,en,the dear score measures speaker mistakes,the DER score measures speaker mistakes,The diarization benchmark reports speaker error metrics.,"[""DER""]",False,False,False,False,accept,Diarization metric context directly supports DER.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_017,ordinary_word_negative_control,en,dear Maria thank you for the update,DER Maria thank you for the update,This is the greeting line of an email.,"[""DER""]",False,False,False,False,reject,"Dear is an ordinary greeting, not a metric.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_018,ordinary_word_negative_control,en,the dear number is lower now,the DER number is lower now,A numeric result is discussed without naming diarization.,"[""DER""]",False,False,False,False,needs_review,The metric reading is plausible but not sufficiently grounded.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_019,weak_retrieval_evidence,zh-CN,我们用 q when 生成纠错结果,我们用 Qwen 生成纠错结果,The team compares LLM providers for ASR correction.,"[""Qwen""]",False,False,False,False,accept,Provider context and the retrieved model name support Qwen.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_020,weak_retrieval_evidence,zh-CN,请问队列什么时候开始任务,请 Qwen 队列什么时候开始任务,The speaker is discussing a compute job queue.,"[""Qwen""]",False,False,False,False,reject,The retrieved model is unrelated to the queue question.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_021,weak_retrieval_evidence,zh-CN,q when 返回了一个答案,Qwen 返回了一个答案,No model or API is identified in the neighboring text.,"[""Qwen""]",False,False,False,False,needs_review,"An answer could come from a model, but retrieval evidence is weak.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_022,weak_retrieval_evidence,en,tag speech uses time grounded labels,TagSpeech uses time grounded labels,The literature review discusses the TagSpeech paper.,"[""TagSpeech""]",False,False,False,False,accept,Paper context supports the canonical title.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_023,weak_retrieval_evidence,en,tag speech segments before publishing,TagSpeech segments before publishing,An editor is adding labels to ordinary speech segments.,"[""TagSpeech""]",False,False,False,False,reject,The verb phrase does not refer to the research method.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_024,weak_retrieval_evidence,en,tag speech was mentioned in the discussion,TagSpeech was mentioned in the discussion,The neighboring passage does not identify a paper or system.,"[""TagSpeech""]",False,False,False,False,needs_review,"Capitalization may be right, but the evidence is not decisive.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_025,weak_retrieval_evidence,en,dm asr conditions on speaker and time,DM-ASR conditions on speaker and time,The paper review covers speaker-aware ASR methods.,"[""DM-ASR""]",False,False,False,False,accept,Research and speaker-time context support DM-ASR.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_026,weak_retrieval_evidence,en,dm asr in the private chat,DM-ASR in the private chat,DM means direct message; ASR appears in a separate clause.,"[""DM-ASR""]",False,False,False,False,reject,The proposal incorrectly merges unrelated abbreviations.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_027,weak_retrieval_evidence,en,dm asr improved the output,DM-ASR improved the output,"The method name is retrieved, but no speaker-time detail is present.","[""DM-ASR""]",False,False,False,False,needs_review,The correction is plausible but weakly contextualized.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_028,heavy_overlap,en,speaker a says piano note,speaker a says pyannote,Two speakers overlap briefly while discussing diarization.,"[""pyannote""]",True,False,False,False,accept,A local term correction remains supported despite mild overlap.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_029,heavy_overlap,en,speaker a says we use... speaker b says no...,speaker a says we use pyannote and speaker b agrees with the plan,Heavy cross-talk obscures both incomplete utterances.,"[""pyannote""]",True,True,False,True,reject,The proposal invents agreement and completes missing content.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_030,heavy_overlap,en,speaker a says rack while speaker b says retrieval,speaker a says RAG while speaker b says retrieval,The speakers overlap during a retrieval discussion.,"[""RAG""]",True,True,True,False,needs_review,"The term is supported, but cross-talk makes the source uncertain.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_031,heavy_overlap,en,during overlap the metric is where,during overlap the metric is WER,Mild overlap occurs in an ASR benchmark discussion.,"[""WER""]",True,False,False,False,accept,The explicit metric context supports a small local correction.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_032,heavy_overlap,en,we measured... [inaudible] ...lower,we measured WER and proved the new model is significantly better,Heavy overlap hides the name and conclusion of the measurement.,"[""WER""]",True,True,False,True,reject,The proposal invents a result and significance claim.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_033,heavy_overlap,en,speaker one says where and speaker two says error,speaker one says WER and speaker two says error,The ASR metric is discussed during strong cross-talk.,"[""WER""]",True,True,True,False,needs_review,"The term is plausible, but word ownership is uncertain.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_034,heavy_overlap,en,diary station is the next stage,diarization is the next stage,Brief overlap occurs in a speaker-analysis pipeline review.,"[""diarization""]",True,False,False,False,accept,The pipeline context supports a local diarization correction.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_035,heavy_overlap,en,speaker a: diary... speaker b: station...,speaker a: diarization is accurate and speaker b: the test passed,Heavy overlap splits fragments across speakers.,"[""diarization""]",True,True,True,True,reject,The proposal invents claims for both speakers.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_036,heavy_overlap,en,diary station... next... [overlap],diarization is next,The intended pipeline stage is likely but the utterance is incomplete.,"[""diarization""]",True,True,False,True,needs_review,"The term is supported, but sentence completion should be reviewed.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_037,partial_utterance,en,the tool is faster whisper...,the tool is faster-whisper...,The ASR implementation is named before the speaker trails off.,"[""faster-whisper""]",False,False,False,True,accept,Only the supported tool name is normalized.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_038,partial_utterance,en,the tool is faster whisper...,the tool is faster-whisper and it reduces latency by fifty percent,The utterance ends before any latency result is stated.,"[""faster-whisper""]",False,False,False,True,reject,The numerical performance claim is invented.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_039,partial_utterance,en,the tool... faster...,the tool is faster-whisper,"The ASR implementation may be intended, but most words are missing.","[""faster-whisper""]",False,False,False,True,needs_review,"The candidate is plausible, but completing the phrase is risky.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_040,partial_utterance,en,use c translate two for inference...,use CTranslate2 for inference...,The runtime backend for faster-whisper is being named.,"[""CTranslate2""]",False,False,False,True,accept,The correction only canonicalizes a supported library name.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_041,partial_utterance,en,use c translate two...,use CTranslate2 because it is always faster than every GPU runtime,No comparison or universal claim appears in the source.,"[""CTranslate2""]",False,False,False,True,reject,The proposal adds an unsupported universal performance claim.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_042,partial_utterance,en,c translate... inference...,CTranslate2 inference is recommended,"The library is likely, but the recommendation is not audible.","[""CTranslate2""]",False,False,False,True,needs_review,The term is supported while the recommendation is not.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_043,partial_utterance,en,the score is the ear...,the score is DER...,The preceding turn defines the diarization error metric.,"[""DER""]",False,False,False,True,accept,The local metric name is supported by preceding context.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_044,partial_utterance,en,the score is...,the score is DER and it proves perfect speaker attribution,The utterance contains neither the metric name nor a conclusion.,"[""DER""]",False,False,False,True,reject,The proposal invents both a term and a perfect result.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_045,partial_utterance,en,the ear... lower...,DER is lower,"A diarization result is discussed, but the phrase is incomplete.","[""DER""]",False,False,False,True,needs_review,"The metric is plausible, but the asserted direction needs review.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_046,speaker_attribution_risk,en,Speaker A: we use piano note,Speaker A: we use pyannote,Speaker A is discussing the diarization toolkit.,"[""pyannote""]",False,False,False,False,accept,The term changes while speaker ownership is preserved.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_047,speaker_attribution_risk,en,Speaker A: we use piano note,Speaker B: we use pyannote,The correction has no evidence for changing speakers.,"[""pyannote""]",False,False,True,False,reject,Speaker attribution must not move without evidence.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_048,speaker_attribution_risk,en,Speaker A or B: we use piano note,Speaker A: we use pyannote,The words are audible but the active speaker is ambiguous.,"[""pyannote""]",False,False,True,False,needs_review,"The term is supported, but assigning Speaker A requires review.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_049,speaker_attribution_risk,en,Participant 1: our where is high,Participant 1: our WER is high,Participant 1 presents ASR benchmark metrics.,"[""WER""]",False,False,False,False,accept,The metric correction preserves participant attribution.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_050,speaker_attribution_risk,en,Participant 1: our where is high,Participant 2: our WER is high,No timing evidence supports reassignment to Participant 2.,"[""WER""]",False,False,True,False,reject,The proposal changes who made the claim.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_051,speaker_attribution_risk,en,Participant 1 and 2 overlap: where is high,Participant 1: WER is high,The metric is audible during overlapping speakers.,"[""WER""]",True,False,True,False,needs_review,The metric is supported but its speaker attribution is uncertain.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_052,speaker_attribution_risk,en,Speaker B: diary station failed,Speaker B: diarization failed,Speaker B reports a speaker-analysis pipeline failure.,"[""diarization""]",False,False,False,False,accept,The supported term changes without moving the claim.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_053,speaker_attribution_risk,en,Speaker B: diary station failed,Speaker A: diarization failed because Speaker B configured it badly,No source evidence assigns blame or changes the speaker.,"[""diarization""]",False,False,True,False,reject,The proposal changes attribution and invents blame.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_054,speaker_attribution_risk,en,Speaker unknown: diary station failed,Speaker B: diarization failed,"The term is audible, but the speaker label is unresolved.","[""diarization""]",False,False,True,False,needs_review,"The term can be corrected, while speaker assignment needs review.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_055,fluent_hallucination,en,we evaluate where,we evaluate WER,The section is explicitly about ASR evaluation metrics.,"[""WER""]",False,False,False,False,accept,The proposal makes one evidence-supported term substitution.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_056,fluent_hallucination,en,we evaluate where,we evaluate WER and demonstrate a statistically significant improvement,"No result, statistical test, or direction is present.","[""WER""]",False,False,False,False,reject,The fluent result claim is unsupported.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_057,fluent_hallucination,en,we evaluate where on the meeting set,we evaluate WER on the meeting set and observe an improvement,"The dataset is named, but no result direction is audible.","[""WER""]",False,False,False,False,needs_review,WER is supported while the claimed improvement is not.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_058,fluent_hallucination,en,rack retrieves the glossary terms,RAG retrieves the glossary terms,The correction pipeline uses retrieval-augmented generation.,"[""RAG""]",False,False,False,False,accept,The glossary retrieval context supports RAG.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_059,fluent_hallucination,en,rack retrieves the glossary terms,RAG retrieves the glossary terms and guarantees zero hallucinations,No guarantee or safety result is stated.,"[""RAG""]",False,False,False,False,reject,The guarantee is an unsupported new claim.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_060,fluent_hallucination,en,rack retrieves terms,RAG retrieves relevant terms and improves every correction,"Retrieval is supported, but universal improvement is not.","[""RAG""]",False,False,False,False,needs_review,The term is supported while the broad effectiveness claim is not.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_061,fluent_hallucination,en,tag speech provides temporal labels,TagSpeech provides temporal labels,The literature review summarizes temporal speech labeling.,"[""TagSpeech""]",False,False,False,False,accept,The proposal only canonicalizes the paper name.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_062,fluent_hallucination,en,tag speech provides temporal labels,TagSpeech solves overlapping speech better than all prior systems,No comparative result is contained in the source.,"[""TagSpeech""]",False,False,False,False,reject,The superiority claim is invented.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_063,fluent_hallucination,en,tag speech provides labels,TagSpeech provides precise temporal labels for every speaker,"The paper is relevant, but precision and universal scope are unstated.","[""TagSpeech""]",False,False,False,False,needs_review,The canonical name is supported but the expanded claim is not.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_064,no_change_case,en,put the laptop on the rack,put the laptop on the rack,A physical equipment instruction is already correct.,"[""RAG""]",False,False,False,False,accept,Abstaining from a tempting jargon substitution is safe.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_065,no_change_case,en,put the laptop on the rack,put the laptop on the RAG,A physical equipment instruction is already correct.,"[""RAG""]",False,False,False,False,reject,The proposal corrupts a correct ordinary word.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_066,no_change_case,en,check the rack result,check the RAG result,It is unclear whether rack names hardware or retrieval output.,"[""RAG""]",False,False,False,False,needs_review,The ambiguous noun should be deferred.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_067,no_change_case,en,where should we meet,where should we meet,A normal location question is already correct.,"[""WER""]",False,False,False,False,accept,Keeping the ordinary word avoids overcorrection.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_068,no_change_case,en,where should we meet,WER should we meet,A normal location question is already correct.,"[""WER""]",False,False,False,False,reject,The metric replacement is nonsensical.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_069,no_change_case,en,where changed after the test,WER changed after the test,A test result is referenced without specifying ASR.,"[""WER""]",False,False,False,False,needs_review,A metric reading is possible but not sufficiently supported.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_070,no_change_case,fr,bonjour dear colleague,bonjour dear colleague,A bilingual greeting is already semantically correct.,"[""DER""]",False,False,False,False,accept,No correction is needed.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_071,no_change_case,fr,bonjour dear colleague,bonjour DER colleague,A bilingual greeting is not a diarization metric.,"[""DER""]",False,False,False,False,reject,The proposal corrupts an ordinary greeting.,,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
pilot_072,no_change_case,fr,le score dear baisse,le score DER baisse,A French sentence mentions a score but not diarization.,"[""DER""]",False,False,False,False,needs_review,"DER is plausible, but the metric domain is not explicit.",,,pilot_auto_labeled; feasibility fixture; not a real-audio annotation
