clip_id,dataset_name,language,variant,asr_model,diarization_model,uses_real_asr_prediction,uses_automatic_diarization,num_pyannote_turns,num_anchors,num_speaker_labeled_anchors,num_overlap_anchors,num_events,num_term_candidates,num_correction_audits,num_unsupported_changes,num_needs_review,asr_metric_name,asr_error_rate,conversation_map_path,notes
aishell4_test_001,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,8,10,7,2,1,0,10,0,5,CER,0.5625,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_001_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_004,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,4,3,0,0,0,4,0,1,CER,0.610169,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_004_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_005,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,10,7,3,1,0,10,0,6,CER,0.403509,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_005_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_007,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,9,6,4,0,0,0,6,0,2,CER,0.480769,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_007_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_008,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,3,3,0,0,0,3,0,0,CER,0.545455,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_008_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_010,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,9,6,0,0,0,9,0,3,CER,0.378378,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_010_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_011,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,3,3,0,0,0,3,0,0,CER,0.714286,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_011_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_013,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,10,5,0,0,0,10,0,5,CER,0.82,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_013_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_015,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,2,2,0,0,0,2,0,0,CER,0.453488,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_015_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_016,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,3,2,0,0,0,3,0,1,CER,0.559524,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_016_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_019,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,10,5,0,0,0,10,0,5,CER,0.572816,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_019_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_020,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,4,4,1,2,0,4,0,1,CER,0.44086,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_020_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_021,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,1,1,0,0,0,1,0,0,CER,0.550847,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_021_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_022,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,6,6,3,2,0,6,0,3,CER,0.75,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_022_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_024,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,5,5,2,1,0,5,0,2,CER,0.647059,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_024_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_025,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,7,4,3,0,0,0,4,0,1,CER,0.814815,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_025_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_028,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,7,6,4,0,0,0,6,0,2,CER,1.057143,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_028_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_031,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,7,5,0,0,0,7,0,2,CER,0.795455,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_031_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_034,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,6,3,0,0,0,6,0,3,CER,0.865385,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_034_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_036,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,2,2,2,0,0,0,2,0,0,CER,0.60396,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_036_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_037,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,7,10,5,0,0,0,10,0,5,CER,0.410959,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_037_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_040,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,8,11,6,0,0,0,11,0,5,CER,0.457447,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_040_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_043,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,7,9,5,0,0,0,9,0,4,CER,0.303571,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_043_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_046,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,11,18,10,0,0,0,18,0,8,CER,0.384615,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_046_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_047,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,3,2,2,0,0,0,2,0,0,CER,0.450549,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_047_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_049,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,8,6,0,0,0,8,0,2,CER,0.560606,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_049_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_052,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,7,8,5,0,0,0,8,0,3,CER,0.425926,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_052_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_055,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,6,9,5,0,0,0,9,0,4,CER,0.68,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_055_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
aishell4_test_058,AISHELL-4,zh-CN,automatic_pyannote_evidence_map,base,pyannote/speaker-diarization-community-1,true,true,5,10,6,0,0,0,10,0,4,CER,0.719512,outputs/conversation_maps/aishell4_60x20_real/automatic_pyannote_evidence_map/aishell4_test_058_conversation_map.json,Automatic map uses pyannote turns and detected overlap/interruption events; no oracle speaker-time turns.
