case_id,language,difficulty,variant,raw_asr_text,reference_text,retrieved_candidates,applied_corrections,corrected_text,expected_terms,true_positive_terms,false_positive_terms,missed_terms,unsupported_changes,needs_review,api_used,fallback_used,llm_provider,llm_model,prompt_version,term_precision,term_recall,term_f1,text_error_before,text_error_after,metric_name,correction_error,notes
term_001,en,easy,no_retrieval,we use piano note to label the speakers,we use pyannote to label the speakers,[],[],we use piano note to label the speakers,"[""pyannote""]",[],[],"[""pyannote""]",[],False,False,False,,,,0.0,0.0,0.0,0.285714,0.285714,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_001,en,easy,exact_glossary,we use piano note to label the speakers,we use pyannote to label the speakers,"[""pyannote""]",[],we use piano note to label the speakers,"[""pyannote""]","[""pyannote""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.285714,0.285714,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_001,en,easy,fuzzy,we use piano note to label the speakers,we use pyannote to label the speakers,"[""pyannote"", ""pyannote.audio""]",[],we use piano note to label the speakers,"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.285714,0.285714,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_001,en,easy,phonetic_like,we use piano note to label the speakers,we use pyannote to label the speakers,"[""pyannote""]",[],we use piano note to label the speakers,"[""pyannote""]","[""pyannote""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.285714,0.285714,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_001,en,easy,fused,we use piano note to label the speakers,we use pyannote to label the speakers,"[""pyannote""]",[],we use piano note to label the speakers,"[""pyannote""]","[""pyannote""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.285714,0.285714,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_001,en,easy,fused_plus_rule_correction,we use piano note to label the speakers,we use pyannote to label the speakers,"[""pyannote""]","[""piano note -> pyannote""]",we use pyannote to label the speakers,"[""pyannote""]","[""pyannote""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.285714,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_001,en,easy,fused_plus_llm_correction,we use piano note to label the speakers,we use pyannote to label the speakers,"[""pyannote""]","[""piano note -> pyannote""]",We use pyannote to label the speakers.,"[""pyannote""]","[""pyannote""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.285714,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_002,en,medium,no_retrieval,pie anode produced the speaker turns,pyannote produced the speaker turns,[],[],pie anode produced the speaker turns,"[""pyannote""]",[],[],"[""pyannote""]",[],False,False,False,,,,0.0,0.0,0.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_002,en,medium,exact_glossary,pie anode produced the speaker turns,pyannote produced the speaker turns,"[""pyannote""]",[],pie anode produced the speaker turns,"[""pyannote""]","[""pyannote""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_002,en,medium,fuzzy,pie anode produced the speaker turns,pyannote produced the speaker turns,"[""pyannote""]",[],pie anode produced the speaker turns,"[""pyannote""]","[""pyannote""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_002,en,medium,phonetic_like,pie anode produced the speaker turns,pyannote produced the speaker turns,"[""pyannote"", ""pyannote.audio""]",[],pie anode produced the speaker turns,"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_002,en,medium,fused,pie anode produced the speaker turns,pyannote produced the speaker turns,"[""pyannote"", ""pyannote.audio""]",[],pie anode produced the speaker turns,"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_002,en,medium,fused_plus_rule_correction,pie anode produced the speaker turns,pyannote produced the speaker turns,"[""pyannote"", ""pyannote.audio""]","[""pie anode -> pyannote""]",pyannote produced the speaker turns,"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_002,en,medium,fused_plus_llm_correction,pie anode produced the speaker turns,pyannote produced the speaker turns,"[""pyannote"", ""pyannote.audio""]","[""pie anode -> pyannote""]",pyannote produced the speaker turns,"[""pyannote""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_003,en,medium,no_retrieval,the pipeline imports piano note audio,the pipeline imports pyannote.audio,[],[],the pipeline imports piano note audio,"[""pyannote.audio""]",[],[],"[""pyannote.audio""]",[],False,False,False,,,,0.0,0.0,0.0,0.75,0.75,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_003,en,medium,exact_glossary,the pipeline imports piano note audio,the pipeline imports pyannote.audio,"[""pyannote"", ""pyannote.audio""]",[],the pipeline imports piano note audio,"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.75,0.75,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_003,en,medium,fuzzy,the pipeline imports piano note audio,the pipeline imports pyannote.audio,"[""pyannote"", ""pyannote.audio""]",[],the pipeline imports piano note audio,"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.75,0.75,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_003,en,medium,phonetic_like,the pipeline imports piano note audio,the pipeline imports pyannote.audio,"[""pyannote"", ""pyannote.audio""]",[],the pipeline imports piano note audio,"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.75,0.75,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_003,en,medium,fused,the pipeline imports piano note audio,the pipeline imports pyannote.audio,"[""pyannote"", ""pyannote.audio""]",[],the pipeline imports piano note audio,"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.75,0.75,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_003,en,medium,fused_plus_rule_correction,the pipeline imports piano note audio,the pipeline imports pyannote.audio,"[""pyannote"", ""pyannote.audio""]","[""piano note audio -> pyannote.audio""]",the pipeline imports pyannote.audio,"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.75,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_003,en,medium,fused_plus_llm_correction,the pipeline imports piano note audio,the pipeline imports pyannote.audio,"[""pyannote"", ""pyannote.audio""]",[],the pipeline imports piano note audio,"[""pyannote.audio""]","[""pyannote"", ""pyannote.audio""]",[],[],[],True,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.75,0.75,WER,LLM correction failed for provider deepseek: Correction changed word order or content beyond supported glossary substitutions.,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback. API output failed grounding validation; raw text was retained.
term_004,en,easy,no_retrieval,speaker diary station answers who spoke when,speaker diarization answers who spoke when,[],[],speaker diary station answers who spoke when,"[""speaker diarization""]",[],[],"[""speaker diarization""]",[],False,False,False,,,,0.0,0.0,0.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_004,en,easy,exact_glossary,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_004,en,easy,fuzzy,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_004,en,easy,phonetic_like,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_004,en,easy,fused,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]",[],speaker diary station answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_004,en,easy,fused_plus_rule_correction,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]","[""speaker diary station -> speaker diarization""]",speaker diarization answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_004,en,easy,fused_plus_llm_correction,speaker diary station answers who spoke when,speaker diarization answers who spoke when,"[""diarization"", ""speaker diarization""]","[""speaker diary station -> speaker diarization""]",speaker diarization answers who spoke when,"[""speaker diarization""]","[""diarization"", ""speaker diarization""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_005,en,easy,no_retrieval,the diary station output has two speakers,the diarization output has two speakers,[],[],the diary station output has two speakers,"[""diarization""]",[],[],"[""diarization""]",[],False,False,False,,,,0.0,0.0,0.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_005,en,easy,exact_glossary,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_005,en,easy,fuzzy,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_005,en,easy,phonetic_like,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_005,en,easy,fused,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]",[],the diary station output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.333333,0.333333,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_005,en,easy,fused_plus_rule_correction,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]","[""diary station -> diarization""]",the diarization output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_005,en,easy,fused_plus_llm_correction,the diary station output has two speakers,the diarization output has two speakers,"[""diarization""]","[""diary station -> diarization""]",the diarization output has two speakers,"[""diarization""]","[""diarization""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.333333,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_006,en,medium,no_retrieval,we evaluate diary zation before correction,we evaluate diarization before correction,[],[],we evaluate diary zation before correction,"[""diarization""]",[],[],"[""diarization""]",[],False,False,False,,,,0.0,0.0,0.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_006,en,medium,exact_glossary,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_006,en,medium,fuzzy,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_006,en,medium,phonetic_like,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_006,en,medium,fused,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]",[],we evaluate diary zation before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.4,0.4,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_006,en,medium,fused_plus_rule_correction,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]","[""diary zation -> diarization""]",we evaluate diarization before correction,"[""diarization""]","[""diarization""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_006,en,medium,fused_plus_llm_correction,we evaluate diary zation before correction,we evaluate diarization before correction,"[""diarization""]","[""diary zation -> diarization""]",We evaluate diarization before correction.,"[""diarization""]","[""diarization""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.4,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_007,en,hard,no_retrieval,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,[],[],the rack glossary retrieves technical terms,"[""RAG""]",[],[],"[""RAG""]",[],False,False,False,,,,0.0,0.0,0.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_007,en,hard,exact_glossary,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_007,en,hard,fuzzy,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_007,en,hard,phonetic_like,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_007,en,hard,fused,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]",[],the rack glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.166667,0.166667,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_007,en,hard,fused_plus_rule_correction,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]","[""rack -> RAG""]",the RAG glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.166667,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_007,en,hard,fused_plus_llm_correction,the rack glossary retrieves technical terms,the RAG glossary retrieves technical terms,"[""RAG""]","[""rack -> RAG""]",the RAG glossary retrieves technical terms,"[""RAG""]","[""RAG""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.166667,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_008,en,easy,no_retrieval,rag provides candidates to the correction model,RAG provides candidates to the correction model,[],[],rag provides candidates to the correction model,"[""RAG""]",[],[],"[""RAG""]",[],False,False,False,,,,0.0,0.0,0.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_008,en,easy,exact_glossary,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]",[],rag provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_008,en,easy,fuzzy,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]",[],rag provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
term_008,en,easy,phonetic_like,rag provides candidates to the correction model,RAG provides candidates to the correction model,[],[],rag provides candidates to the correction model,"[""RAG""]",[],[],"[""RAG""]",[],False,False,False,,,,0.0,0.0,0.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=phonetic_like.
term_008,en,easy,fused,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]",[],rag provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused.
term_008,en,easy,fused_plus_rule_correction,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]","[""rag -> RAG""]",RAG provides candidates to the correction model,"[""RAG""]","[""RAG""]",[],[],[],False,False,False,,,talkweaver.correction.v1,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_rule_correction.
term_008,en,easy,fused_plus_llm_correction,rag provides candidates to the correction model,RAG provides candidates to the correction model,"[""RAG""]","[""rag -> RAG""]",RAG provides candidates to the correction model.,"[""RAG""]","[""RAG""]",[],[],[],False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.0,1.0,1.0,0.0,0.0,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fused_plus_llm_correction. Strict real LLM mode; no silent rule fallback.
term_009,en,hard,no_retrieval,we report where for the transcript benchmark,we report WER for the transcript benchmark,[],[],we report where for the transcript benchmark,"[""WER""]",[],[],"[""WER""]",[],False,False,False,,,,0.0,0.0,0.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=no_retrieval.
term_009,en,hard,exact_glossary,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]",[],we report where for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=exact_glossary.
term_009,en,hard,fuzzy,we report where for the transcript benchmark,we report WER for the transcript benchmark,"[""WER""]",[],we report where for the transcript benchmark,"[""WER""]","[""WER""]",[],[],[],False,False,False,,,,1.0,1.0,1.0,0.142857,0.142857,WER,,Controlled text fixture; not public audio or measured ASR. Retrieval variant=fuzzy.
