variant,language,difficulty,num_cases,mean_term_precision,mean_term_recall,mean_term_f1,mean_text_error_before,mean_text_error_after,false_positive_count,missed_term_count,unsupported_change_count,needs_review_count,api_used_count,fallback_used_count,notes
exact_glossary,en,easy,7,1.0,1.0,1.0,0.217687,0.217687,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
exact_glossary,en,hard,5,1.0,0.9,0.933333,0.351429,0.351429,0,1,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
exact_glossary,en,medium,7,1.0,1.0,1.0,0.440816,0.440816,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
exact_glossary,en,negative_control,4,0.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
exact_glossary,fr,hard,1,1.0,1.0,1.0,0.666667,0.666667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
exact_glossary,zh-CN,hard,1,1.0,1.0,1.0,0.166667,0.166667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused,en,easy,7,1.0,1.0,1.0,0.217687,0.217687,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused,en,hard,5,1.0,1.0,1.0,0.351429,0.351429,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused,en,medium,7,1.0,1.0,1.0,0.440816,0.440816,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused,en,negative_control,4,1.0,1.0,1.0,0.0,0.0,0,0,0,4,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused,fr,hard,1,1.0,1.0,1.0,0.666667,0.666667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused,zh-CN,hard,1,1.0,1.0,1.0,0.166667,0.166667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_llm_correction,en,easy,7,1.0,1.0,1.0,0.217687,0.0,0,0,0,0,7,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_llm_correction,en,hard,5,1.0,1.0,1.0,0.351429,0.222857,0,0,0,2,5,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_llm_correction,en,medium,7,1.0,1.0,1.0,0.440816,0.107143,0,0,0,1,7,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_llm_correction,en,negative_control,4,1.0,1.0,1.0,0.0,0.0,0,0,0,4,4,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_llm_correction,fr,hard,1,1.0,1.0,1.0,0.666667,0.0,0,0,0,0,1,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_llm_correction,zh-CN,hard,1,1.0,1.0,1.0,0.166667,0.166667,0,0,0,1,1,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_rule_correction,en,easy,7,1.0,1.0,1.0,0.217687,0.0,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_rule_correction,en,hard,5,1.0,1.0,1.0,0.351429,0.0,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_rule_correction,en,medium,7,1.0,1.0,1.0,0.440816,0.0,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_rule_correction,en,negative_control,4,1.0,1.0,1.0,0.0,0.0,0,0,0,4,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_rule_correction,fr,hard,1,1.0,1.0,1.0,0.666667,0.0,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fused_plus_rule_correction,zh-CN,hard,1,1.0,1.0,1.0,0.166667,0.0,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fuzzy,en,easy,7,1.0,1.0,1.0,0.217687,0.217687,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fuzzy,en,hard,5,1.0,1.0,1.0,0.351429,0.351429,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fuzzy,en,medium,7,1.0,1.0,1.0,0.440816,0.440816,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fuzzy,en,negative_control,4,0.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fuzzy,fr,hard,1,1.0,1.0,1.0,0.666667,0.666667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
fuzzy,zh-CN,hard,1,1.0,1.0,1.0,0.166667,0.166667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
no_retrieval,en,easy,7,0.0,0.0,0.0,0.217687,0.217687,0,7,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
no_retrieval,en,hard,5,0.0,0.0,0.0,0.351429,0.351429,0,8,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
no_retrieval,en,medium,7,0.0,0.0,0.0,0.440816,0.440816,0,7,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
no_retrieval,en,negative_control,4,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
no_retrieval,fr,hard,1,0.0,0.0,0.0,0.666667,0.666667,0,2,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
no_retrieval,zh-CN,hard,1,0.0,0.0,0.0,0.166667,0.166667,0,2,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
phonetic_like,en,easy,7,0.857143,0.857143,0.857143,0.217687,0.217687,0,1,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
phonetic_like,en,hard,5,1.0,1.0,1.0,0.351429,0.351429,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
phonetic_like,en,medium,7,1.0,1.0,1.0,0.440816,0.440816,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
phonetic_like,en,negative_control,4,0.25,1.0,0.25,0.0,0.0,3,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
phonetic_like,fr,hard,1,1.0,1.0,1.0,0.666667,0.666667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
phonetic_like,zh-CN,hard,1,1.0,1.0,1.0,0.166667,0.166667,0,0,0,0,0,0,Controlled text fixtures only; results are separate from public-audio evaluation.
